Time (s),Power Consumption (W)
1707454179.1294684,111.72
1707454179.956956,109.43
1707454180.2549248,109.08
1707454180.5046892,109.13
1707454180.818988,109.22
1707454181.117368,109.32
1707454181.4447243,109.32
1707454181.8800108,109.31
1707454182.2376623,109.45
1707454183.1018262,109.28
