Time (s),Power Consumption (W)
1707454179.1235347,111.72
1707454179.7636154,109.99
1707454180.057244,109.36
1707454180.3737454,109.15
1707454180.660291,109.21
1707454180.9609966,109.27
1707454181.2823832,109.34
1707454181.6198587,109.34
1707454182.022348,109.36
1707454182.5287557,109.43
1707454184.0449982,108.98
1707454185.009639,109.76
1707454185.8074033,110.69
1707454187.1712873,127.54
